b0,b1,b2,b3,b4,b5
222,24,137,65,163,55
93,58,138,6,30,103
87,110,146,109,199,26
127,163,240,204,235,151
69,43,77,50,39,150
95,158,168,204,117,7
109,159,185,197,65,122
165,203,48,252,34,25
139,52,152,45,187,98
158,192,75,79,139,5
160,113,8,80,146,160
195,88,74,72,228,163
10,57,123,138,205,29
0,158,200,125,104,17
242,44,244,156,163,229
147,84,185,69,21,53
162,24,122,134,66,108
202,125,94,130,62,186
0,68,18,103,18,87
184,216,96,174,76,189
76,73,6,187,197,53
239,225,88,127,8,219
51,149,92,219,203,173
155,16,245,63,196,229
44,89,21,101,81,132
135,254,8,77,14,63
3,222,188,201,218,28
233,13,8,92,45,138
25,216,55,48,134,22
54,146,20,43,216,252
93,122,115,73,106,142
89,238,126,207,107,148
6,99,244,166,190,230
91,210,200,92,70,152
108,27,239,52,144,211
123,56,218,133,211,46
151,57,203,35,74,43
231,64,235,8,137,54
33,153,175,204,50,131
85,153,13,79,137,251
99,195,228,81,116,172
100,77,71,2,71,63
151,209,157,98,59,63
168,63,211,85,226,70
39,231,17,84,196,83
202,69,210,222,79,64
136,103,98,41,216,178
5,199,33,210,57,66
97,235,190,158,71,206
80,48,65,21,234,88
98,33,186,47,38,38
119,141,187,202,21,193
248,121,209,117,7,255
162,119,18,202,145,161
103,149,31,192,147,48
191,9,111,181,114,57
169,20,14,172,155,68
51,1,152,9,21,250
111,78,246,34,171,182
146,49,250,43,33,231
146,237,16,31,143,197
114,213,88,109,231,57
45,161,215,174,125,158
12,98,158,123,51,185
178,152,103,208,200,205
243,96,229,142,212,36
23,233,219,181,17,105
203,201,12,233,52,149
67,7,226,25,56,242
134,122,86,90,96,216
208,215,180,109,238,168
238,166,232,71,56,117
67,225,22,16,152,25
154,138,2,176,152,153
142,20,21,115,148,98
247,244,78,231,237,64
223,54,137,28,146,113
159,8,30,89,27,8
224,231,10,29,230,70
17,4,170,234,119,20
237,237,247,225,144,186
203,114,92,243,12,157
139,54,179,26,29,143
68,230,6,86,233,71
195,54,125,56,42,44
175,214,225,122,237,249
55,11,241,38,101,212
161,243,14,87,92,200
78,167,74,95,198,144
191,235,119,98,197,80
76,100,127,122,59,168
137,187,88,62,48,39
103,187,209,132,64,136
202,163,60,123,207,112
50,30,0,130,185,199
142,25,136,96,54,185
160,125,163,80,92,200
80,218,74,133,206,152
54,182,51,58,12,37
160,128,234,157,179,109
192,50,42,142,138,239
211,50,135,16,222,64
230,23,22,61,87,0
100,25,169,162,71,130
42,212,57,130,204,87
254,102,100,126,152,120
228,36,230,216,176,223
34,254,65,116,160,39
220,160,236,201,178,138
14,198,222,204,28,149
99,135,178,47,188,242
15,164,89,9,146,38
85,171,188,199,251,10
89,89,235,22,58,30
139,141,9,100,151,67
138,189,84,72,48,3
143,101,13,254,129,219
138,114,41,159,126,133
110,77,23,19,143,75
