b0,b1,b2,b3,b4,b5
128,0,72,0,32,128
18,72,8,0,132,128
74,8,33,164,146,200
0,72,128,32,200,18
104,136,18,204,136,74
140,161,238,154,233,164
218,72,32,128,146,72
64,0,164,0,88,64
41,164,22,72,74,64
161,132,90,218,104,192
146,236,64,88,228,41
252,86,97,238,86,233
206,26,123,236,154,72
132,128,202,8,105,164
178,72,18,0,136,32
76,146,34,128,51,104
26,130,140,233,110,186
33,182,178,192,50,76
26,2,204,161,74,154
177,228,243,236,54,200
216,8,225,132,254,218
48,128,187,72,86,16
174,105,93,210,59,52
62,41,92,246,59,180
126,97,120,214,171,230
63,77,124,82,105,236
18,104,200,18,232,136
90,204,168,202,158,233
230,154,109,36,144,64
1,36,0,128,64,72
36,32,144,82,65,44
4,132,194,10,45,37
180,64,129,100,72,164
96,216,118,97,188,86
197,238,14,169,231,190
109,164,208,8,37,4
144,210,1,100,32,164
82,88,108,9,176,196
67,110,101,129,212,152
247,5,244,242,165,54
120,200,91,232,168,74
222,161,194,186,253,118
209,108,5,160,194,138
109,109,144,96,17,54
9,136,100,92,180,107
145,115,113,174,143,205
175,26,13,124,166,105
153,82,85,60,15,205
199,26,63,252,188,1
149,192,211,188,100,229
244,60,165,93,152,251
21,242,59,166,62,105
124,210,41,164,54,72
88,64,169,164,94,72
106,192,179,204,82,218
236,64,216,228,97,252
118,225,252,30,225,206
158,251,166,146,105,32
18,2,8,33,36,146
128,0,104,0,50,128
26,104,12,146,134,128
107,40,51,38,154,161
36,250,128,50,232,26
90,140,136,238,140,249
174,179,77,178,146,2
96,33,22,18,154,104
100,146,180,0,113,64
63,180,28,33,79,210
179,20,114,187,126,118
8,220,100,227,244,63
197,92,30,251,206,146
91,160,8,106,4,179
162,18,235,40,91,38
168,33,62,146,140,160
110,154,49,164,187,200
22,88,138,73,205,128
122,24,58,173,158,252
22,145,202,33,249,178
227,66,95,149,10,51
213,186,215,134,198,187
15,54,55,104,120,194
187,237,118,72,108,64
176,228,83,124,108,137
240,140,103,78,245,211
149,180,243,129,54,248
136,19,204,136,218,140
224,238,190,121,180,219
65,32,20,130,11,9
37,52,0,201,64,104
52,50,153,90,101,56
148,207,195,43,29,167
63,9,236,116,104,253
114,241,110,87,161,206
170,251,191,210,100,20
20,75,75,97,17,6
153,147,37,80,160,253
90,113,120,159,171,198
47,95,117,90,77,248
130,35,201,51,216,10
209,133,197,218,190,176
244,179,117,18,141,216
110,49,177,251,195,226
93,207,11,59,117,46
13,197,230,62,173,124
188,105,149,242,83,166
12,233,102,186,37,54
176,200,51,104,154,130
196,233,78,58,51,254
186,192,182,204,80,10
237,5,216,82,177,172
115,204,254,218,176,128
243,72,118,144,188,33
85,210,191,180,116,33
125,82,169,124,126,41
248,246,99,244,87,197
110,158,225,166,158,201
38,136,1,44,128,132
136,74,12,161,166,154
201,36,200,0,40,128
22,200,10,8,133,164
202,136,41,236,150,104
130,82,201,12,72,22
224,138,30,77,174,194
13,141,38,30,65,110
196,161,142,26,223,236
194,8,173,36,220,64
35,228,19,204,72,218
224,224,222,126,98,216
215,65,230,212,237,7
56,83,239,172,201,44
168,4,158,130,6,169
35,62,3,172,225,236
190,232,148,154,195,4
205,178,42,2,55,161
56,170,143,223,239,18
9,120,36,43,144,87
113,46,207,133,139,58
157,46,231,69,157,214
151,54,34,232,115,90
190,152,244,165,245,24
165,221,216,179,49,210
171,244,127,69,120,86
235,174,27,109,236,0
40,192,22,236,10,24
197,173,238,140,41,174
214,77,134,66,27,69
44,22,196,202,14,41
167,246,73,132,64,90
100,40,148,86,195,110
13,129,230,24,237,109
248,96,35,182,19,224
104,206,50,235,250,91
66,136,21,108,139,224
141,78,78,115,195,222
221,210,131,52,105,169
114,78,46,3,245,225
197,174,254,141,144,174
17,93,233,187,42,70
39,135,113,187,207,198
91,31,72,62,80,156
205,71,170,119,175,156
173,55,156,72,183,224
208,142,101,79,212,243
23,54,186,232,54,218
152,0,229,128,124,152
57,133,159,90,150,88
226,73,255,0,96,112
54,63,24,124,125,185
249,7,99,19,199,184
223,167,226,41,143,54
95,104,74,66,161,133
122,218,234,192,219,204
96,90,246,40,212,118
231,124,29,201,207,56
123,111,186,1,38,160
129,58,72,142,128,207
168,107,46,179,37,178
160,130,122,73,26,128
28,232,15,186,135,38
235,225,27,78,156,19
167,200,233,152,250,85
242,143,166,111,41,81
102,61,165,125,8,233
84,250,63,50,188,106
117,243,157,166,247,9
20,244,27,53,76,41
242,214,102,70,85,71
79,247,211,4,148,178
3,18,33,184,50,199
154,79,180,131,33,9
162,148,75,99,97,7
134,147,187,32,230,34
125,115,25,110,189,33
181,66,193,245,76,229
